date,sleep_hours,sleep_score,hrv,body_battery,stress_avg,symptoms
2026-07-27,7.5,78,60,82,28,
2026-07-28,7.2,75,58,75,30,
2026-07-29,6.8,70,55,68,35,
2026-07-30,7.6,80,61,80,26,
2026-07-31,7.0,74,57,70,32,
2026-08-01,7.8,82,59,78,27,
2026-08-02,8.0,85,63,85,22,
2026-08-03,7.4,77,60,80,28,
2026-08-04,7.1,73,56,72,33,
2026-08-05,6.9,71,54,65,37,
2026-08-06,7.5,79,59,77,29,
2026-08-07,7.0,74,57,70,31,
2026-08-08,7.7,81,58,74,30,
2026-08-09,7.9,84,62,83,24,
2026-08-10,7.3,76,59,79,28,
2026-08-11,7.0,73,56,71,33,
2026-08-12,6.7,68,53,62,39,mareo leve y me senti mas cansado de lo normal
2026-08-13,6.2,55,42,28,55,
2026-08-14,7.4,78,57,74,30,
2026-08-15,7.6,80,58,76,29,
2026-08-16,8.1,86,63,85,21,
2026-08-17,7.5,79,60,81,27,
2026-08-18,7.2,75,58,76,30,
